,source,destination,mixed_string,semantic_proximity
5986,Gangster,Nose,GNaeegnorsst,0.1539241891509513
5987,Gangster,Anchor,AGaceghnnorrst,0.03876355627821509
5988,Gangster,Shoulder,GSadeeghlnorrstu,0.11797297093783961
5989,Gangster,Spirit,GSaegiinprrstt,0.167231036984705
5990,Gangster,Book,BGaegknoorst,0.12064299117060455
5991,Gangster,Kick,GKacegiknrst,0.15880736496314607
5992,Gangster,Boss,BGaegnorssst,0.39426897105393327
5993,Gangster,Rope,GRaeegnoprst,0.10675617571313181
5994,Gangster,Avalanche,AGaaaceeghlnnrstv,0.06605863380083232
5995,Gangster,Sheet,GSaeeeghnrstt,0.0374432436896045
5996,Gangster,Tuxedo,GTadeegnorstux,0.25285066893237684
5997,Gangster,Shampoo,GSaaeghmnooprst,0.04296444840031514
5998,Gangster,Frog,FGaeggnorrst,0.21350971210640252
5999,Gangster,Milk,GMaegiklnrst,0.02875070407055943
6384,Spurs,Drum,DSmprrsuu,0.11953432912037229
6385,Spurs,Nose,NSeoprssu,0.18854462212444087
6386,Spurs,Anchor,ASchnoprrsu,0.17109720921859647
6387,Spurs,Shoulder,SSdehloprrsuu,0.25943796327912705
6388,Spurs,Spirit,SSiipprrstu,0.17635952863269921
6389,Spurs,Book,BSkooprsu,0.018755984751049608
6390,Spurs,Kick,KScikprsu,0.2259356756098376
6391,Spurs,Boss,BSoprsssu,0.18029928359449884
6392,Spurs,Rope,RSeopprsu,0.22250494464647466
6393,Spurs,Avalanche,ASaacehlnprsuv,0.24684715722417896
6394,Spurs,Sheet,SSeehprstu,0.06977081365880168
6395,Spurs,Tuxedo,STdeoprsuux,0.09244247381492247
6396,Spurs,Shampoo,SSahmoopprsu,0.07029155621834474
6397,Spurs,Frog,FSgoprrsu,0.16439254810322546
6398,Spurs,Milk,MSiklprsu,0.10263574916600005
6399,Spurs,Gangster,GSaegnprrsstu,0.07521789388117323
6783,Step,Drum,DSemprtu,0.30009486142627356
6784,Step,Nose,NSeeopst,0.218053389358459
6785,Step,Anchor,AScehnoprt,0.25531233166481926
6786,Step,Shoulder,SSdeehloprtu,0.26289188594017415
6787,Step,Spirit,SSeiipprtt,0.2900995209861709
6788,Step,Book,BSekoopt,0.25794209596289064
6789,Step,Kick,KSceikpt,0.31393908255374364
6790,Step,Boss,BSeopsst,0.28939933569559784
6791,Step,Rope,RSeeoppt,0.2820882960201735
6792,Step,Avalanche,ASaaceehlnptv,0.17310048948014442
6793,Step,Sheet,SSeeehptt,0.31526167439121894
6794,Step,Tuxedo,STdeeoptux,0.05139834435884834
6795,Step,Shampoo,SSaehmooppt,0.16534292068671547
6796,Step,Frog,FSegoprt,0.2025592123354271
6797,Step,Milk,MSeiklpt,0.19039440462312898
6798,Step,Gangster,GSaeegnprstt,0.09679980864841659
6799,Step,Spurs,SSepprstu,0.12650326138012877
7182,Mummy,Drum,DMmmmruuy,0.070832506828526
7183,Mummy,Nose,MNemmosuy,0.2880387876202945
7184,Mummy,Anchor,AMchmmnoruy,0.05192339147897111
7185,Mummy,Shoulder,MSdehlmmoruuy,0.25948780047971504
7186,Mummy,Spirit,MSiimmprtuy,0.18747217088233162
7187,Mummy,Book,BMkmmoouy,0.134139984487581
7188,Mummy,Kick,KMcikmmuy,0.12421604764555697
7189,Mummy,Boss,BMmmossuy,0.24037093794417852
7190,Mummy,Rope,MRemmopuy,0.16844950855469515
7191,Mummy,Avalanche,AMaacehlmmnuvy,0.0675300742021957
7192,Mummy,Sheet,MSeehmmtuy,0.10139228847668758
7193,Mummy,Tuxedo,MTdemmouuxy,0.14337142327859226
7194,Mummy,Shampoo,MSahmmmoopuy,0.16383864023971714
